Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
Alyeska Resort,Alaska,3939,2500,250,1,0,0,2,2,0,0,2,7,76,2,1,1610,113,150,60,669,65,85,150,550,1
Eaglecrest Ski Area,Alaska,2600,1540,1200,0,0,0,0,0,0,4,0,4,36,1,2,640,60,45,44,350,47,53,90,0,1
Hilltop Ski Area,Alaska,2090,294,1796,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,30,34,152,30,1
Arizona Snowbowl,Arizona,11500,2300,9200,0,0,1,0,2,2,1,2,8,55,4,2,777,104,122,81,260,89,89,122,0,0
Sunrise Park Resort,Arizona,11100,1800,9200,0,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,49,250,74,78,104,80,0
Yosemite Ski & Snowboard Area,California,7800,600,7200,0,0,0,0,0,1,3,1,5,10,2,0.4,88,0,110,84,300,47,47,107,0,2
Bear Mountain,California,8805,1665,7140,0,0,0,2,1,2,3,4,12,27,14,1.5,198,198,122,76,100,57.91695652,64.16681004,130,0,2
Bear Valley,California,8500,1900,6600,0,0,1,1,0,2,4,2,10,67,2,1.2,1680,100,165,52,359,57.91695652,64.16681004,151,0,2
Boreal Mountain Resort,California,7700,500,7200,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,54,400,49,64.16681004,150,200,2
Dodge Ridge,California,8200,1600,6600,0,0,0,0,1,2,5,4,12,67,5,2,862,0,115.1039427,69,350,78,78,140,0,2
Donner Ski Ranch,California,8012,750,7031,0,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,82,400,75,75,170,0,2
Heavenly Mountain Resort,California,10067,3500,7170,2,0,2,7,1,5,3,8,28,97,3,5.5,4800,3379,155,64,360,57.91695652,64.16681004,157,0,0
June Mountain,California,10090,2590,7545,0,0,0,2,0,0,4,1,7,41,2,2,1500,0,115.1039427,58,250,57.91695652,64.16681004,128,0,0
Kirkwood,California,9800,2000,7800,0,0,0,2,1,5,1,3,12,85,2,2.5,2300,200,200,47,354,57.91695652,64.16681004,167,0,0
Mammoth Mountain Ski Area,California,11053,3100,7953,3,0,2,9,1,6,4,0,25,154,7,3,3500,700,243,66,400,149,159,120.0530035,0,0
Mt. Shasta Ski Park,California,6890,1435,5500,0,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,34,300,49,59,130,0,2
Mountain High,California,8200,1600,6600,0,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,95,108,84,84,150,73,2
Mt. Baldy,California,8600,2100,6500,0,0,0,0,0,0,4,0,4,26,0,2.5,400,80,175,67,178,69,69,200,0,2
Northstar California,California,8610,2280,6330,2,0,1,7,1,2,0,7,20,100,9,1.4,3170,1500,135,47,350,57.91695652,64.16681004,150,0,2
Sierra-at-Tahoe,California,8852,2212,6640,0,0,0,3,0,1,5,5,14,46,6,2.5,2000,200,160,73,460,99,64.16681004,144,0,2
Ski China Peak,California,8709,1679,7030,0,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,62,300,83,83,144,0,2
Snow Summit,California,8200,1200,7000,0,0,0,2,0,4,5,5,16,27,6,1.2,240,240,115.1039427,67,100,57.91695652,64.16681004,130,150,2
Snow Valley,California,7841,1041,6800,0,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,82,160,69,79,143,164,2
Soda Springs,California,7352,652,6700,0,0,0,0,0,1,1,2,4,18,0,0.4,200,20,150,83,400,50,50,144,0,2
Sugar Bowl Resort,California,8383,1500,6883,1,0,0,5,3,1,0,2,12,105,3,3,1650,375,151,80,500,125,125,150,0,2
Tahoe Donner,California,7350,600,6750,0,0,0,0,1,1,0,3,5,14,2,1,120,0,150,48,400,69,69,144,0,2
Arapahoe Basin Ski Area,Colorado,13050,2530,10780,0,0,0,1,2,1,2,3,9,145,3,1.5,1428,125,230,73,350,85,85,233,0,0
Aspen / Snowmass,Colorado,12510,4406,8104,3,0,1,15,4,3,5,9,40,336,10,5.3,5517,658,138,72,300,179,179,138,0,0
Beaver Creek,Colorado,11440,3340,8100,2,0,0,11,0,1,1,9,24,150,3,2.8,1832,650,145,39,323,57.91695652,64.16681004,138,0,0
Breckenridge,Colorado,12998,3398,9600,1,0,5,6,0,1,6,15,34,187,4,3.5,2908,600,182,58,300,57.91695652,64.16681004,163,0,0
Copper Mountain Resort,Colorado,12313,2738,9712,1,0,2,4,0,4,4,9,24,150,6,1.7,2527,364,164,47,300,158,158,164,0,0
Crested Butte Mountain Resort,Colorado,12162,3062,9375,0,0,0,4,2,2,1,5,14,121,4,2.6,1547,297,145,58,234,57.91695652,64.16681004,131,0,0
Purgatory,Colorado,10822,2029,8793,0,0,1,2,0,3,3,3,12,101,9,1.3,1605,250,130,54,260,89,89,130,0,0
Eldora Mountain Resort,Colorado,10600,1400,9200,0,0,1,0,2,1,3,3,10,65,8,3,680,680,147,57,311,57.91695652,64.16681004,150,0,0
Howelsen Hill,Colorado,7136,440,6696,0,0,0,0,0,0,1,3,4,17,1,6,50,25,100,104,150,25,25,100,10,2
Keystone,Colorado,12408,3128,9280,2,0,2,4,1,1,2,8,20,128,1,3.5,3148,662,184,49,235,57.91695652,64.16681004,120.0530035,288,0
Loveland,Colorado,13010,2210,10800,0,0,0,1,3,3,2,1,10,94,1,2,1800,240,205,82,422,79,79,184,0,0
Monarch Mountain,Colorado,11952,1162,10790,0,0,0,0,1,0,4,2,7,64,2,1,800,0,143,80,350,89,89,136,0,0
Powderhorn,Colorado,9850,1650,8200,0,0,0,1,0,0,2,2,5,42,2,1.5,1600,42,111,53,250,71,71,110,0,0
Silverton Mountain,Colorado,13487,3087,10400,0,0,0,0,0,0,1,0,1,48.21472393,0,1.5,26819,0,175,17,400,79,79,181,0,0
Cooper,Colorado,11700,1200,10500,0,0,0,0,0,1,1,2,4,41,1,1,400,0,130,74,260,56,56,130,0,0
Ski Granby Ranch,Colorado,9202,1000,8202,0,0,0,2,0,1,1,1,5,40,1,0.6,406,170,116,36,220,84,84,92,100,0
Steamboat,Colorado,10568,3668,6900,1,0,1,6,0,5,2,3,18,169,4,3,2965,375,145,56,336,57.91695652,64.16681004,145,30,0
Sunlight Mountain Resort,Colorado,9895,2010,7885,0,0,0,0,0,1,2,0,3,67,1,2.5,680,30,100,53,250,65,65,135,0,0
Telluride,Colorado,13150,4425,8725,2,0,0,6,1,2,2,4,17,148,3,4.6,2000,220,131,47,280,139,139,137,0,0
Vail,Colorado,11570,3450,8120,2,0,3,15,1,1,0,9,31,195,3,4,5289,461,149,57,354,57.91695652,64.16681004,142,0,0
Winter Park Resort,Colorado,12060,3060,9000,1,0,2,7,0,4,6,5,25,166,7,4.9,3081,313,158,79,360,57.91695652,64.16681004,151,0,0
Wolf Creek Ski Area,Colorado,11904,1604,10300,0,0,0,3,1,2,1,3,10,120,0,2,1600,5,130,80,430,72,72,150,0,0
Mohawk Mountain,Connecticut,1600,650,950,0,0,0,0,0,5,0,3,8,25,0,1.5,107,100,115.1039427,72,92,30,65,110,64,1
Mount Southington Ski Area,Connecticut,525,425,100,0,0,0,0,0,2,2,3,7,14,2,0.3,51,51,63,55,80,60,60,95,51,1
Powder Ridge Park,Connecticut,720,550,170,0,0,0,0,0,1,2,2,5,19,4,0.5,80,68,80,60,80,45,55,100,40,1
Ski Sundown,Connecticut,1075,625,450,0,0,0,0,0,3,0,2,5,16,2,1,70,70,84,50,45,62,62,95,66,1
Woodbury Ski Area,Connecticut,730,300,430,0,0,0,0,0,0,1,4,5,12,2,0.2,50,50,126,57,70,42,42,180,35,1
Bogus Basin,Idaho,7582,1800,5800,0,0,0,3,0,1,3,4,11,91,3,1.5,2600,0,134,77,250,64,64,130,165,2
Brundage Mountain Resort,Idaho,7640,1800,5840,0,0,0,1,0,4,0,1,6,51,2,3.2,1920,2,126,58,320,70,70,120.0530035,0,2
Kelly Canyon Ski Area,Idaho,6600,1000,5600,0,0,0,0,0,0,4,2,6,51,1,1.3,740,0,115.1039427,62,200,57.91695652,42,120.0530035,0,2
Lookout Pass Ski Area,Idaho,5650,1150,4500,0,0,0,0,0,1,3,0,4,35,2,1.5,540,0,113,84,400,44,47,140,0,2
Magic Mountain Ski Area,Idaho,7200,700,6500,0,0,0,0,0,0,1,2,3,11,0,1.5,280,0,65,81,180,32,32,70,0,2
Pebble Creek Ski Area,Idaho,8560,2200,6360,0,0,0,0,0,3,0,0,3,54,2,1.3,1100,30,85,70,250,47,47,91,30,2
Pomerelle Mountain Resort,Idaho,9000,1000,8000,0,0,0,0,0,1,1,1,3,24,2,1.5,500,50,138,56,500,57.91695652,64.16681004,138,100,2
Schweitzer,Idaho,6400,2400,4000,0,0,1,2,0,1,3,2,9,92,3,2.1,2900,47,136,56,300,81,81,120.0530035,100,2
Silver Mountain,Idaho,6300,2200,4100,1,0,0,0,1,2,2,1,7,80,2,2.5,1600,225,130,29,300,57,62,193,20,2
Soldier Mountain Ski Area,Idaho,7200,1400,5800,0,0,0,0,0,0,2,1,3,36,0,0.4,1142,0,60,71,185.3164557,43,43,120.0530035,0,2
Sun Valley,Idaho,9150,3400,5750,1,0,0,9,0,3,2,3,18,120,7,3,2054,645,149,83,220,57.91695652,64.16681004,137,0,2
Tamarack Resort,Idaho,7700,2800,4900,0,0,0,2,2,0,0,2,6,48,3,1.5,1020,200,115.1039427,15,300,71,71,150,0,2
Chestnut Mountain Resort,Illinois,1040,475,565,0,0,0,0,2,4,0,3,9,22,3,0.2,139,139,87,60,50,40,55,112,139,1
Four Lakes,Illinois,500,100,400,0,0,0,0,0,0,0,7,7,7,1,0.1,9,9,78,58,24,57.91695652,64.16681004,70,9,1
Ski Snowstar Winter Sports Park,Illinois,790,262,528,0,0,0,0,2,0,2,2,6,15,1,0.8,28,28,56,38,38,25,35,86,28,1
Villa Olivia,Illinois,500,180,320,0,0,0,0,1,0,0,6,7,7,1,0.1,15,15,115.1039427,53,25,40,40,70,15,1
Paoli Peaks,Indiana,900,300,600,0,0,0,1,1,3,1,2,8,15,2,0.4,65,65,75,41,18,38,45,80,65,1
Perfect North Slopes,Indiana,800,400,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,39,24,52,52,90,100,1
Mt. Crescent Ski Area,Iowa,1500,300,1200,0,0,0,0,1,0,1,0,2,11,1,0.2,50,50,115.1039427,58,30,29,39,120.0530035,50,1
Seven Oaks,Iowa,975,275,800,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,22,40,40,40,100,35,1
Sundown Mountain,Iowa,1059,475,584,0,0,0,0,1,1,2,2,6,21,2,0.6,55,55,115.1039427,46,45,38,46,120.0530035,55,1
Big Squaw Mountain Ski Resort,Maine,3200,660,1750,0,0,0,0,0,1,0,0,1,29,0,0.8,739.8012232,0,67,6,185.3164557,30,30,58,0,1
Camden Snow Bowl,Maine,1080,850,150,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,83,69,33,43,70,48,1
Lost Valley,Maine,495,240,255,0,0,0,0,0,0,2,2,4,22,2,0.3,45,45,87,58,50,29,55,104,45,1
Mt. Abram Ski Resort,Maine,2250,1150,1050,0,0,0,0,0,0,2,3,5,54,1,0.5,640,175,120,59,125,29,49,120,0,1
Mt. Jefferson,Maine,753,432,351,0,0,0,0,0,0,0,3,3,10,0,0.3,12,0,115.1039427,19,185.3164557,57.91695652,64.16681004,120.0530035,0,1
New Hermon Mountain,Maine,450,350,100,0,0,0,0,0,0,1,2,3,20,0,1.9,70,70,102,55,90,32,32,117,45,1
Shawnee Peak,Maine,1900,1350,600,0,0,0,0,1,2,1,2,6,43,3,0.8,239,234,97,81,110,55,75,103,110,1
Sugarloaf,Maine,4237,2820,1417,0,0,0,2,3,1,5,2,13,162,4,3.5,1240,618,159,68,200,99,99,155,0,1
Sunday River,Maine,3140,2340,800,1,0,0,4,5,3,1,1,15,135,5,3,870,552,165,60,167,105,105,169,140,1
Wisp,Maryland,3115,700,2415,0,0,0,0,2,5,0,5,12,34,3,1.5,172,118,121,64,100,59,79,120,118,1
Berkshire East,Massachusetts,1720,1180,540,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,68,120,48,68,120,80,1
Blandford Ski Area,Massachusetts,1685,465,1035,0,0,0,0,0,0,3,2,5,29,2,0.5,132,70,115.1039427,83,50,20,45,120.0530035,70,1
Blue Hills Ski Area,Massachusetts,635,309,326,0,0,0,0,0,0,1,3,4,16,1,1.433230769,60,60,115.1039427,19,185.3164557,40,45,120.0530035,0,1
Bousquet Ski Area,Massachusetts,1875,750,1125,0,0,0,0,0,0,3,2,5,23,1,1,200,98,115.1039427,19,83,25,49,120.0530035,100,1
Bradford Ski Area,Massachusetts,1548,248,1300,0,0,0,0,0,2,0,8,10,15,1,0.3,48,48,115.1039427,71,185.3164557,37,55,120.0530035,0,1
Jiminy Peak,Massachusetts,2380,1150,1230,0,0,1,0,2,3,1,2,9,45,3,2,167,163,121,71,90,81,81,120,104,1
Nashoba Valley,Massachusetts,440,240,200,0,0,0,0,0,3,1,7,11,17,2,0.5,52,52,112,55,55,48,58,126,52,1
Otis Ridge Ski Area,Massachusetts,1700,400,1300,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,73,70,20,40,106,35,1
Ski Butternut,Massachusetts,1800,1000,800,0,0,0,0,3,1,1,6,11,22,2,1.5,110,110,107,56,115,25,60,110,0,1
Ski Ward,Massachusetts,420,210,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45,45,105,50,80,57.91695652,64.16681004,120,38,1
Wachusett Mountain Ski Area,Massachusetts,2006,1000,1006,0,0,0,3,0,1,0,4,8,27,2,1.5,112,112,115.1039427,57,100,65,71,120,104,1
